Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	119.752964
1	SP GFLOPS	0.0
1	DP GFLOPS	1.693823
1	x87 GFLOPS	0.0
1	CPI Rate	0.955801
1	Average CPU Frequency	3618167108.783059
1	Total Thread Count	1
0	Effective CPU Utilization	2.3
1	Average Effective CPU Utilization	0.929 out of 40
0	Memory Bound	9.1
1	Cache Bound	20.3
1	DRAM Bound	18.8
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	9.8
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	228.000000	42.700000	4.447489	0.0
1	DRAM Single-Package, GB/sec	114.000000	35.800000	4.422855	0.0
0	Vectorization	24.6
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	0.0
2	DP FLOPs	20.0
3	Packed	24.6
4	128-bit	24.6
4	256-bit	0.0
4	512-bit	0.0
3	Scalar	75.4
2	x87 FLOPs	0.0
2	Non-FP	80.0
1	FP Arith/Mem Rd Instr. Ratio	1.330239
1	FP Arith/Mem Wr Instr. Ratio	2.740916
0	Collection and Platform Info	
1	Application Command Line	../../agoge_run "../../problems/GravityCollapse-512-Eu.yaml" 
1	Operating System	5.15.0-126-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	dev-intel18
1	Result Size	180277599
1	Collection start time	03:06:36 09/02/2025 UTC
1	Collection stop time	03:08:36 09/02/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Skylake
2	Frequency	2394311836
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	114000000000.000000
2	LLC size	28835840
