[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.000488635 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.8109e+14, L₂ = 8.53185e+14 (over 4096 cells)
Gravity is DISABLED, G: 6.67e-08
CFL=0.5, sound_crossings=409.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 1.0947e+14
HDF5 file written to: agoge_init.h5
Step=176, time=1.46994e+12/1.0947e+14, dt=8.35191e+09
Step=178, time=1.48664e+12/1.0947e+14, dt=8.35191e+09
Step=180, time=1.50334e+12/1.0947e+14, dt=8.35191e+09
Step=182, time=1.52005e+12/1.0947e+14, dt=8.35191e+09
Step=184, time=1.53675e+12/1.0947e+14, dt=8.35191e+09
Step=186, time=1.55346e+12/1.0947e+14, dt=8.35191e+09
Step=188, time=1.57016e+12/1.0947e+14, dt=8.35191e+09
Step=190, time=1.58686e+12/1.0947e+14, dt=8.35191e+09
Step=192, time=1.60357e+12/1.0947e+14, dt=8.35191e+09
Step=194, time=1.62027e+12/1.0947e+14, dt=8.35191e+09
Step=196, time=1.63698e+12/1.0947e+14, dt=8.35191e+09
Step=198, time=1.65368e+12/1.0947e+14, dt=8.35191e+09
Step=200, time=1.67038e+12/1.0947e+14, dt=8.35191e+09
Step=202, time=1.68709e+12/1.0947e+14, dt=8.35191e+09
Step=204, time=1.70379e+12/1.0947e+14, dt=8.35191e+09
Step=206, time=1.72049e+12/1.0947e+14, dt=8.35191e+09
Step=208, time=1.7372e+12/1.0947e+14, dt=8.35191e+09
Step=210, time=1.7539e+12/1.0947e+14, dt=8.35191e+09
Step=212, time=1.77061e+12/1.0947e+14, dt=8.35191e+09
Step=214, time=1.78731e+12/1.0947e+14, dt=8.35191e+09
Step=216, time=1.80401e+12/1.0947e+14, dt=8.35191e+09
Step=218, time=1.82072e+12/1.0947e+14, dt=8.35191e+09
Step=220, time=1.83742e+12/1.0947e+14, dt=8.35191e+09
Step=222, time=1.85412e+12/1.0947e+14, dt=8.35191e+09
Step=224, time=1.87083e+12/1.0947e+14, dt=8.35191e+09
Step=226, time=1.88753e+12/1.0947e+14, dt=8.35191e+09
Step=228, time=1.90424e+12/1.0947e+14, dt=8.35191e+09
Step=230, time=1.92094e+12/1.0947e+14, dt=8.35191e+09
Step=232, time=1.93764e+12/1.0947e+14, dt=8.35191e+09
Step=234, time=1.95435e+12/1.0947e+14, dt=8.35191e+09
Step=236, time=1.97105e+12/1.0947e+14, dt=8.35191e+09
Step=238, time=1.98776e+12/1.0947e+14, dt=8.35191e+09
Step=240, time=2.00446e+12/1.0947e+14, dt=8.35191e+09
Step=242, time=2.02116e+12/1.0947e+14, dt=8.35191e+09
Step=244, time=2.03787e+12/1.0947e+14, dt=8.35191e+09
Step=246, time=2.05457e+12/1.0947e+14, dt=8.35191e+09
Step=248, time=2.07127e+12/1.0947e+14, dt=8.35191e+09
Step=250, time=2.08798e+12/1.0947e+14, dt=8.35191e+09
Step=252, time=2.10468e+12/1.0947e+14, dt=8.35191e+09
Step=254, time=2.12139e+12/1.0947e+14, dt=8.35191e+09
Step=256, time=2.13809e+12/1.0947e+14, dt=8.35191e+09
Step=258, time=2.15479e+12/1.0947e+14, dt=8.35191e+09
Step=260, time=2.1715e+12/1.0947e+14, dt=8.35191e+09
Step=262, time=2.1882e+12/1.0947e+14, dt=8.35191e+09
Step=264, time=2.20491e+12/1.0947e+14, dt=8.35191e+09
Step=266, time=2.22161e+12/1.0947e+14, dt=8.35191e+09
Step=268, time=2.23831e+12/1.0947e+14, dt=8.35191e+09
Step=270, time=2.25502e+12/1.0947e+14, dt=8.35191e+09
Step=272, time=2.27172e+12/1.0947e+14, dt=8.35191e+09
Step=274, time=2.28842e+12/1.0947e+14, dt=8.35191e+09
Step=276, time=2.30513e+12/1.0947e+14, dt=8.35191e+09
Step=278, time=2.32183e+12/1.0947e+14, dt=8.35191e+09
Step=280, time=2.33854e+12/1.0947e+14, dt=8.35191e+09
Step=282, time=2.35524e+12/1.0947e+14, dt=8.35191e+09
Step=284, time=2.37194e+12/1.0947e+14, dt=8.35191e+09
Step=286, time=2.38865e+12/1.0947e+14, dt=8.35191e+09
Step=288, time=2.40535e+12/1.0947e+14, dt=8.35191e+09
Step=290, time=2.42206e+12/1.0947e+14, dt=8.35191e+09
Step=292, time=2.43876e+12/1.0947e+14, dt=8.35191e+09
Step=294, time=2.45546e+12/1.0947e+14, dt=8.35191e+09
Step=296, time=2.47217e+12/1.0947e+14, dt=8.35191e+09
Step=298, time=2.48887e+12/1.0947e+14, dt=8.35191e+09
Step=300, time=2.50557e+12/1.0947e+14, dt=8.35191e+09
Step=302, time=2.52228e+12/1.0947e+14, dt=8.35191e+09
Step=304, time=2.53898e+12/1.0947e+14, dt=8.35191e+09
Step=306, time=2.55569e+12/1.0947e+14, dt=8.35191e+09
Step=308, time=2.57239e+12/1.0947e+14, dt=8.35191e+09
Step=310, time=2.58909e+12/1.0947e+14, dt=8.35191e+09
Step=312, time=2.6058e+12/1.0947e+14, dt=8.35191e+09
Step=314, time=2.6225e+12/1.0947e+14, dt=8.35191e+09
Step=316, time=2.6392e+12/1.0947e+14, dt=8.35191e+09
Step=318, time=2.65591e+12/1.0947e+14, dt=8.35191e+09
Step=320, time=2.67261e+12/1.0947e+14, dt=8.35191e+09
Step=322, time=2.68932e+12/1.0947e+14, dt=8.35191e+09
Step=324, time=2.70602e+12/1.0947e+14, dt=8.35191e+09
Step=326, time=2.72272e+12/1.0947e+14, dt=8.35191e+09
Step=328, time=2.73943e+12/1.0947e+14, dt=8.35191e+09
Step=330, time=2.75613e+12/1.0947e+14, dt=8.35191e+09
Step=332, time=2.77284e+12/1.0947e+14, dt=8.35191e+09
Step=334, time=2.78954e+12/1.0947e+14, dt=8.35191e+09
Step=336, time=2.80624e+12/1.0947e+14, dt=8.35191e+09
Step=338, time=2.82295e+12/1.0947e+14, dt=8.35191e+09
Step=340, time=2.83965e+12/1.0947e+14, dt=8.35191e+09
Step=342, time=2.85635e+12/1.0947e+14, dt=8.35191e+09
Step=344, time=2.87306e+12/1.0947e+14, dt=8.35191e+09
Step=346, time=2.88976e+12/1.0947e+14, dt=8.35191e+09
Step=348, time=2.90647e+12/1.0947e+14, dt=8.35191e+09
Step=350, time=2.92317e+12/1.0947e+14, dt=8.35191e+09
Step=352, time=2.93987e+12/1.0947e+14, dt=8.35191e+09
Step=354, time=2.95658e+12/1.0947e+14, dt=8.35191e+09
Step=356, time=2.97328e+12/1.0947e+14, dt=8.35191e+09
Step=358, time=2.98999e+12/1.0947e+14, dt=8.35191e+09
Step=360, time=3.00669e+12/1.0947e+14, dt=8.35191e+09
Step=362, time=3.02339e+12/1.0947e+14, dt=8.35191e+09
Step=364, time=3.0401e+12/1.0947e+14, dt=8.35191e+09
Step=366, time=3.0568e+12/1.0947e+14, dt=8.35191e+09
Step=368, time=3.0735e+12/1.0947e+14, dt=8.35191e+09
Step=370, time=3.09021e+12/1.0947e+14, dt=8.35191e+09
Step=372, time=3.10691e+12/1.0947e+14, dt=8.35191e+09
Step=374, time=3.12362e+12/1.0947e+14, dt=8.35191e+09
Step=376, time=3.14032e+12/1.0947e+14, dt=8.35191e+09
Step=378, time=3.15702e+12/1.0947e+14, dt=8.35191e+09
Step=380, time=3.17373e+12/1.0947e+14, dt=8.35191e+09
Step=382, time=3.19043e+12/1.0947e+14, dt=8.35191e+09
Step=384, time=3.20713e+12/1.0947e+14, dt=8.35191e+09
Step=386, time=3.22384e+12/1.0947e+14, dt=8.35191e+09
Step=388, time=3.24054e+12/1.0947e+14, dt=8.35191e+09
Step=390, time=3.25725e+12/1.0947e+14, dt=8.35191e+09
Step=392, time=3.27395e+12/1.0947e+14, dt=8.35191e+09
Step=394, time=3.29065e+12/1.0947e+14, dt=8.35191e+09
Step=396, time=3.30736e+12/1.0947e+14, dt=8.35191e+09
Step=398, time=3.32406e+12/1.0947e+14, dt=8.35191e+09
Step=400, time=3.34077e+12/1.0947e+14, dt=8.35191e+09
Step=402, time=3.35747e+12/1.0947e+14, dt=8.35191e+09
Step=404, time=3.37417e+12/1.0947e+14, dt=8.35191e+09
Step=406, time=3.39088e+12/1.0947e+14, dt=8.35191e+09
Step=408, time=3.40758e+12/1.0947e+14, dt=8.35191e+09
Step=410, time=3.42428e+12/1.0947e+14, dt=8.35191e+09
Step=412, time=3.44099e+12/1.0947e+14, dt=8.35191e+09
Step=414, time=3.45769e+12/1.0947e+14, dt=8.35191e+09
Step=416, time=3.4744e+12/1.0947e+14, dt=8.35191e+09
Step=418, time=3.4911e+12/1.0947e+14, dt=8.35191e+09
Step=420, time=3.5078e+12/1.0947e+14, dt=8.35191e+09
Step=422, time=3.52451e+12/1.0947e+14, dt=8.35191e+09
Step=424, time=3.54121e+12/1.0947e+14, dt=8.35191e+09
Step=426, time=3.55792e+12/1.0947e+14, dt=8.35191e+09
Step=428, time=3.57462e+12/1.0947e+14, dt=8.35191e+09
Step=430, time=3.59132e+12/1.0947e+14, dt=8.35191e+09
Step=432, time=3.60803e+12/1.0947e+14, dt=8.35191e+09
Step=434, time=3.62473e+12/1.0947e+14, dt=8.35191e+09
Step=436, time=3.64143e+12/1.0947e+14, dt=8.35191e+09
Step=438, time=3.65814e+12/1.0947e+14, dt=8.35191e+09
Step=440, time=3.67484e+12/1.0947e+14, dt=8.35191e+09
Step=442, time=3.69155e+12/1.0947e+14, dt=8.35191e+09
Step=444, time=3.70825e+12/1.0947e+14, dt=8.35191e+09
Step=446, time=3.72495e+12/1.0947e+14, dt=8.35191e+09
Step=448, time=3.74166e+12/1.0947e+14, dt=8.35191e+09
Step=450, time=3.75836e+12/1.0947e+14, dt=8.35191e+09
Step=452, time=3.77507e+12/1.0947e+14, dt=8.35191e+09
Step=454, time=3.79177e+12/1.0947e+14, dt=8.35191e+09
Step=456, time=3.80847e+12/1.0947e+14, dt=8.35191e+09
Step=458, time=3.82518e+12/1.0947e+14, dt=8.35191e+09
Step=460, time=3.84188e+12/1.0947e+14, dt=8.35191e+09
Step=462, time=3.85858e+12/1.0947e+14, dt=8.35191e+09
Step=464, time=3.87529e+12/1.0947e+14, dt=8.35191e+09
Step=466, time=3.89199e+12/1.0947e+14, dt=8.35191e+09
Step=468, time=3.9087e+12/1.0947e+14, dt=8.35191e+09
Step=470, time=3.9254e+12/1.0947e+14, dt=8.35191e+09
Step=472, time=3.9421e+12/1.0947e+14, dt=8.35191e+09
Step=474, time=3.95881e+12/1.0947e+14, dt=8.35191e+09
Step=476, time=3.97551e+12/1.0947e+14, dt=8.35191e+09
Step=478, time=3.99221e+12/1.0947e+14, dt=8.35191e+09
Step=480, time=4.00892e+12/1.0947e+14, dt=8.35191e+09
Step=482, time=4.02562e+12/1.0947e+14, dt=8.35191e+09
Step=484, time=4.04233e+12/1.0947e+14, dt=8.35191e+09
