
Running opt1 with X=40
nproc:40-procno:28-Time for pingpong: 0.748 (microsec)
nproc:40-procno:32-Time for pingpong: 0.744 (microsec)
nproc:40-procno:38-Time for pingpong: 0.735 (microsec)
nproc:40-procno:2-Time for pingpong: 0.745 (microsec)
nproc:40-procno:16-Time for pingpong: 0.737 (microsec)
nproc:40-procno:30-Time for pingpong: 0.741 (microsec)
nproc:40-procno:34-Time for pingpong: 0.751 (microsec)
nproc:40-procno:36-Time for pingpong: 0.752 (microsec)
nproc:40-procno:12-Time for pingpong: 0.736 (microsec)
nproc:40-procno:0-Time for pingpong: 0.739 (microsec)
nproc:40-procno:22-Time for pingpong: 0.767 (microsec)
nproc:40-procno:24-Time for pingpong: 0.745 (microsec)
nproc:40-procno:10-Time for pingpong: 0.747 (microsec)
nproc:40-procno:26-Time for pingpong: 0.746 (microsec)
nproc:40-procno:6-Time for pingpong: 0.754 (microsec)
nproc:40-procno:18-Time for pingpong: 0.778 (microsec)
nproc:40-procno:4-Time for pingpong: 0.756 (microsec)
nproc:40-procno:14-Time for pingpong: 0.744 (microsec)
nproc:40-procno:8-Time for pingpong: 1.040 (microsec)
nproc:40-procno:20-Time for pingpong: 1.130 (microsec)
